Query,,Precision,,,Recall,,,F-Measure,,,Average Precision,,,NDCG,,,Latency,
,@10,@20,@50,@10,@20,@50,@10,@20,@50,@10,@20,@50,@10,@20,@50,@10,@20,@50
1,0.7,0.65,0.64,0.010752688172043012,0.019969278033794162,0.04915514592933948,0.021180030257186084,0.038748137108792845,0.0912981455064194,0.5845238095238094,0.631235083286167,0.6379163341839768,0.4818552893425367,0.4921102373923685,0.5679569169504233,0.006491899490356445,0.0057849884033203125,0.0070650577545166016
2,0.9,0.9,0.66,0.016544117647058824,0.03308823529411765,0.06066176470588235,0.032490974729241874,0.06382978723404256,0.1111111111111111,0.9467813051146384,0.9390144634920176,0.8705506624505334,0.31546487678572877,0.3441658660629025,0.39756017847813435,0.014664411544799805,0.011835098266601562,0.015332937240600586
3,0.2,0.4,0.58,0.0029940119760479044,0.011976047904191617,0.04341317365269461,0.005899705014749263,0.023255813953488375,0.0807799442896936,0.18333333333333335,0.29498807113938696,0.46323570292226496,0,0.2708582728165179,0.3981824122500203,0.009161710739135742,0.00847315788269043,0.010761499404907227
4,0.4,0.35,0.3,0.008032128514056224,0.014056224899598393,0.030120481927710843,0.015748031496062992,0.027027027027027025,0.05474452554744526,0.6,0.5013736263736264,0.407938380407526,0.5,0.5,0.28668755110446176,0.006079196929931641,0.005877256393432617,0.006496906280517578
5,0.3,0.3,0.22,0.005016722408026756,0.010033444816053512,0.01839464882943144,0.009868421052631578,0.01941747572815534,0.03395061728395062,0.3595238095238095,0.34622432306255835,0.3205441542579212,0,0,0.2045142505009896,0.0070953369140625,0.0072858333587646484,0.007709980010986328
6,0.6,0.55,0.38,0.011472275334608031,0.021032504780114723,0.036328871892925434,0.0225140712945591,0.040515653775322284,0.06631762652705062,0.8357142857142857,0.7344693111404342,0.6225787843575791,0.8231430824233733,0.7885540217717719,0.7460639657952348,0.01047968864440918,0.01050257682800293,0.012639284133911133
7,0.8,0.75,0.68,0.014109347442680775,0.026455026455026454,0.059964726631393295,0.027729636048526865,0.05110732538330493,0.11021069692058345,0.8802579365079365,0.8292994804759511,0.7746805613285291,0.5,0.37528034970499563,0.40461387058690423,0.008650779724121094,0.008893489837646484,0.009495973587036133
8,0.1,0.25,0.2,0.0017064846416382253,0.008532423208191127,0.017064846416382253,0.003355704697986577,0.0165016501650165,0.031446540880503145,0.25,0.22739495798319326,0.2301573154514331,0,0,0.2103099178571525,0.008913516998291016,0.009361028671264648,0.011219501495361328
9,0.9,0.6,0.54,0.016100178890876567,0.02146690518783542,0.04830053667262969,0.03163444639718805,0.04145077720207253,0.08866995073891626,0.9626543209876544,0.9145795846453743,0.7222212195596455,1.0,0.7645281827313747,0.7253108275443184,0.004800558090209961,0.006998300552368164,0.0061206817626953125
10,0.7,0.8,0.54,0.029411764705882353,0.06722689075630252,0.1134453781512605,0.05645161290322581,0.12403100775193798,0.1875,0.8954648526077096,0.8328734279029365,0.754891356662804,0.7813207927028726,0.7941571245444662,0.8004407616333837,0.007035970687866211,0.008168697357177734,0.009409189224243164
11,0.4,0.35,0.2,0.007017543859649123,0.012280701754385965,0.017543859649122806,0.013793103448275862,0.023728813559322035,0.03225806451612903,0.44375,0.42564935064935067,0.37125473140328824,0.3010299956639812,0.3010299956639812,0.3010299956639812,0.006662607192993164,0.007218360900878906,0.00817251205444336
12,0.8,0.75,0.76,0.015873015873015872,0.02976190476190476,0.07539682539682539,0.0311284046692607,0.057251908396946556,0.1371841155234657,0.8802579365079365,0.8320560611272685,0.7719532380750721,0.571091858729985,0.6348753559336023,0.684146649594893,0.004676342010498047,0.005486488342285156,0.0059986114501953125
13,0.3,0.3,0.3,0.004195804195804196,0.008391608391608392,0.02097902097902098,0.008275862068965517,0.0163265306122449,0.0392156862745098,0.3595238095238095,0.3547470503352856,0.32366385149780336,0.5,0.3779790124049077,0.32964785995464974,0.00633549690246582,0.006632089614868164,0.008142471313476562
